Order_ID,Customer_ID,Order_Date,City,Category,Product,Quantity,Unit_Price,Discount,Sales,Profit
ORD0001,CUST104,2026-03-19,Bangalore,Fashion,Running Shoes,4,1091,0,4364,1139.47
ORD0002,CUST108,2026-01-18,Hyderabad,Sports,Yoga Mat,1,1708,0.15,1451.8,348.13
ORD0003,CUST102,2026-02-02,Mumbai,Electronics,Headphones,2,1313,0.2,2100.8,302.84
ORD0004,CUST110,2026-05-27,Delhi,Home & Kitchen,Coffee Maker,4,2663,0.2,8521.6,2374.41
ORD0005,CUST123,2026-01-19,Bangalore,Home & Kitchen,Air Fryer,5,3378,0.1,15201,5533.01
ORD0006,CUST115,2026-03-10,Chennai,Sports,Yoga Mat,4,7305,0.1,26298,7097.88
ORD0007,CUST111,2026-06-15,Pune,Home & Kitchen,Air Fryer,1,5219,0.2,4175.2,710.43
ORD0008,CUST111,2026-02-16,Hyderabad,Sports,Yoga Mat,1,8687,0.15,7383.95,2276.5
ORD0009,CUST120,2026-04-19,Hyderabad,Electronics,Headphones,5,5440,0.1,24480,5170.23
ORD0010,CUST123,2026-03-21,Mumbai,Electronics,Headphones,3,8067,0,24201,10552.75
ORD0011,CUST112,2026-02-20,Bangalore,Beauty,Perfume,4,5985,0,23940,5593.6
ORD0012,CUST113,2026-04-28,Hyderabad,Beauty,Face Wash,2,5009,0.05,9517.1,2305.91
ORD0013,CUST105,2026-04-28,Mumbai,Electronics,Headphones,4,6880,0.2,22016,5121.39
ORD0014,CUST106,2026-02-08,Delhi,Fashion,T-Shirt,3,6533,0.05,18619.05,7159.28
ORD0015,CUST105,2026-04-18,Pune,Home & Kitchen,Air Fryer,4,3287,0.1,11833.2,3749.23
ORD0016,CUST124,2026-01-15,Delhi,Sports,Dumbbells,2,8745,0.2,13992,1737.77
ORD0017,CUST121,2026-04-02,Chennai,Sports,Dumbbells,4,6836,0.15,23242.4,7552.04
ORD0018,CUST102,2026-01-01,Mumbai,Electronics,Headphones,4,2959,0,11836,4400.48
ORD0019,CUST120,2026-04-05,Delhi,Home & Kitchen,Air Fryer,3,717,0,2151,535.39
ORD0020,CUST116,2026-04-16,Hyderabad,Fashion,T-Shirt,5,6266,0.15,26630.5,8513.81
ORD0021,CUST116,2026-06-06,Mumbai,Fashion,Running Shoes,2,1974,0.1,3553.2,709.53
ORD0022,CUST101,2026-05-10,Delhi,Electronics,Headphones,5,6226,0.05,29573.5,7511.19
ORD0023,CUST108,2026-05-18,Mumbai,Electronics,Smart Watch,5,6308,0.05,29963,10035.71
ORD0024,CUST124,2026-02-07,Mumbai,Fashion,Running Shoes,5,3497,0.05,16610.75,3703.03
ORD0025,CUST107,2026-06-20,Pune,Beauty,Perfume,1,757,0.1,681.3,182.73
ORD0026,CUST116,2026-02-11,Chennai,Beauty,Perfume,3,1619,0.05,4614.15,1828.68
ORD0027,CUST104,2026-04-26,Delhi,Beauty,Face Wash,4,5936,0,23744,6126.68
ORD0028,CUST124,2026-04-15,Hyderabad,Home & Kitchen,Coffee Maker,2,7409,0.1,13336.2,4890.64
ORD0029,CUST115,2026-06-05,Mumbai,Electronics,Headphones,2,2381,0,4762,1977.35
ORD0030,CUST101,2026-01-26,Delhi,Sports,Dumbbells,3,2854,0.2,6849.6,1060.78
ORD0031,CUST107,2026-03-17,Chennai,Electronics,Headphones,4,3491,0.05,13265.8,5495.69
ORD0032,CUST124,2026-03-15,Delhi,Sports,Dumbbells,3,7165,0.05,20420.25,8296.9
ORD0033,CUST117,2026-01-28,Hyderabad,Sports,Dumbbells,5,2442,0.2,9768,2626.1
ORD0034,CUST124,2026-01-18,Bangalore,Home & Kitchen,Air Fryer,2,3123,0.05,5933.7,1818.19
ORD0035,CUST102,2026-01-17,Hyderabad,Fashion,T-Shirt,1,1230,0.05,1168.5,437.88
ORD0036,CUST117,2026-05-17,Chennai,Sports,Yoga Mat,1,7562,0.1,6805.8,1581.35
ORD0037,CUST123,2026-05-09,Mumbai,Fashion,T-Shirt,5,8132,0.2,32528,1360.27
ORD0038,CUST111,2026-01-22,Chennai,Home & Kitchen,Coffee Maker,2,7126,0,14252,5127.25
ORD0039,CUST105,2026-06-21,Delhi,Beauty,Face Wash,2,5260,0,10520,2563.55
ORD0040,CUST104,2026-04-16,Chennai,Fashion,Running Shoes,3,2548,0.15,6497.4,1907.14
